service_id,date,exception_type
WDY,20240101,2
WDY,20240126,2
WDY,20240130,2
WDY,20240501,2
WDY,20240815,2
WDY,20241002,2
WDY,20241225,2
SAT,20240101,2
SAT,20240126,2
SAT,20240130,2
SAT,20240501,2
SAT,20240815,2
SAT,20241002,2
SAT,20241225,2
EWK,20240101,2
EWK,20240126,2
EWK,20240130,2
EWK,20240501,2
EWK,20240815,2
EWK,20241002,2
EWK,20241225,2
